lat,lon,direction
39.7114476,-105.0533478,259
39.7112647,-105.0530546,88
39.638422,-104.9771906,62
39.8079383,-104.9175363,156-201
39.8101247,-104.9175302,161-206
39.5650665,-104.8396357,165
39.5479416,-104.8839797,2
39.5485123,-104.8840169,191
39.5381565,-104.8776485,359
39.5385346,-104.8777547,179
39.6238109,-104.9275983,169
39.6237584,-104.9273592,353
39.7403203,-105.0392702,88
39.8271348,-105.0520841,74
39.5889275,-104.743825,105-150
39.5887208,-104.7438,275-320
39.7438985,-104.9127103,220-265
39.8056926,-104.9175316,320-5
39.9649745,-105.0483165,290
39.9649604,-105.0483151,120
39.9699205,-105.045218,290
39.9699229,-105.0454942,110
39.9692717,-105.04434,45
39.9694449,-105.0439414,240
39.8064697,-104.9035791,338-23
39.5931826,-105.044793,85
39.6009884,-105.0413626,85
39.7074058,-104.9390331,338-23
39.6387166,-104.9411349,274
39.6387323,-104.9140658,278
39.6375516,-104.9225687,176
39.6377899,-104.960122,290
